use,material,items,count
gardening&farmingrelated,plastic,agricultural tarpaulin and packaging,
commonhouseholditems,plastic,sponge,
commonhouseholditems,plastic,string,
shorelineandrecreationalactivites,plastic,degraded lighters,
smoking-related,plastic,tobacco sachets,
entertainmentandtoys,plastic,football,
entertainmentandtoys,plastic,golf ball,
entertainmentandtoys,plastic,toys & party poppers,
entertainmentandtoys,plastic,toys,
microplastic,plastic,Fiber,
microplastic,plastic,Nurdle,
microplastic,plastic,Foam,
microplastic,plastic,Sphere,
microplastic,plastic,Line,
microplastic,plastic,Bead,
microplastic,plastic,Sheet,
microplastic,plastic,Film,
microplastic,plastic,Fragment,
microplastic,plastic,Rubbery fragment,
microplastic,plastic,Fiber bundle,
microplastic,plastic,Other,
vehicledebris,rubber,tyres without holes OR wheels,
vehicledebris,rubber,tyres with holes,
clothingandtextiles,rubber,gloves,
clothingandtextiles,rubber,boots,
clothingandtextiles,rubber,shoe,
fishinggear,rubber,lobster claw bands,
constructionmaterials,rubber,inner-tubes & rubber sheets,
officesupplies,rubber,rubber bands,
entertainmentandtoys,rubber,balloons,
medical/hygiene,sanitarywaste,bagged dog faeces,
medical/hygiene,sanitarywaste,dog poop (unbagged),
medical/hygiene,sanitarywaste,bandages,
medical/hygiene,sanitarywaste,blister pack,
medical/hygiene,sanitarywaste,contraceptives,
medical/hygiene,sanitarywaste,cotton bud sticks,
medical/hygiene,sanitarywaste,drugs,
safetyrelated,sanitarywaste,ear plugs,
medical/hygiene,sanitarywaste,femininehygeneitems,
medical/hygiene,sanitarywaste,inhaler,
medical/hygiene,sanitarywaste,"other medical items (swabs, bandaging etc.)",
medical/hygiene,sanitarywaste,condoms,
medical/hygiene,sanitarywaste,injection gun containers,
medical/hygiene,sanitarywaste,wet wipes,
medical/hygiene,sanitarywaste,diapers,
medical/hygiene,sanitarywaste,tooth pick,
medical/hygiene,sanitarywaste,toilet paper,
medical/hygiene,sanitarywaste,toothbrushes,
medical/hygiene,sanitarywaste,dental flossers,
medical/hygiene,sanitarywaste,panty liners,
medical/hygiene,sanitarywaste,tampon applicators,
medical/hygiene,sanitarywaste,tampons,
medical/hygiene,sanitarywaste,sanitary towels,
medical/hygiene,sanitarywaste,"sharp needles, lancets, metal catheters",
medical/hygiene,sanitarywaste,drug paraphanalia OR syringes,
medical/hygiene,sanitarywaste,deoderant,
medical/hygiene,sanitarywaste,face mask,
food-related,wood,corks,
food-related,wood,popsicle stick,
food-related,wood,utensil,
large,wood,furniture,
constructionmaterials,wood,pallets,
nonfoodrelatedpackaging,wood,crates,
entertainmentandtoys,wood,paint brushes,
entertainmentandtoys,wood,paint tins,
medical/hygiene,wood,combs OR hairbrushes,
shorelineandrecreationalactivites,wood,matches (& fireworks),
fishinggear,wood,wooden trap,
