Items,Materials
Plastikë (të gjitha llojet),
Metale (të gjitha llojet),
Alumin (të gjitha llojet),
Organike dhe mikse,
Gjendja e pikës: legale / ilegale,
Lloji i mbetjes në pikë,
Afërsia me trupat ujore,
Afërsia me zonat e banuara,
Sipërfaqja,
Shkalla e rrezikut,
Masat,
Elektronike dhe elektrike,
Bateri ,
Makina,
Të tjera,
Kartona dhe letër,
Mbetje ndërtimore,
Mbetje voluminoze dhe fibra,
Qelq (të gjitha llojet),
