"materials","items","organization"
"GENERAL","Appliances (refigerators or wasters etc)","Dumping Activities"
"GENERAL","Batteries","Dumping Activities"
"GENERAL","Building Materials","Dumping Activities"
"GENERAL","Cars or Car Parts","Dumping Activities"
"GENERAL","55-Gal Drums","Dumping Activities"
"GENERAL","Tires","Dumping Activities"
