Items,Materials
plastic - recyclable beverage containers (CRV-labeled),
glass - recyclable beverage containers (CRV labeled),
single use plastic carryout bags,
expanded polystyrene (EPS) disposable food & beverage ware,
rigid plastic disposable food and beverage ware,
mylar (non-recyclable) film food wrappers,
other plastic items,
paper food/beverage ware,
bulk paper and cardboard,
cigarette butts,
other glass items,
metal items,
miscellaneous items,
