materials,pathString
Silicone,Trash/plastic/Polysiloxanes/Silicone
PMPS,Trash/plastic/Polysiloxanes/PMPS
PDMS,Trash/plastic/Polysiloxanes/PDMS
Poly(diethylsiloxane)(PDES),Trash/plastic/Polysiloxanes/Poly(diethylsiloxane)(PDES)
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)","Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)"
Poly(2-methoxystyrene),"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Poly(2-methoxystyrene)"
Poly(_-methylstyrene),"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Poly(_-methylstyrene)"
Poly(2-methylstyrene),"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Poly(2-methylstyrene)"
Poly(3-methylstyrene),"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Poly(3-methylstyrene)"
Poly(4-methylstyrene),"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Poly(4-methylstyrene)"
Polystyrene,"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Polystyrene"
Poly(4-tert-butylstyrene),"Trash/plastic/POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)/Poly(4-tert-butylstyrene)"
Polystyrenes(POLYPHENYLETHYLENES),Trash/plastic/Polystyrenes(POLYPHENYLETHYLENES)
PS,Trash/plastic/Polystyrenes(POLYPHENYLETHYLENES)/PS
Polysuccinates,Trash/plastic/Polysuccinates
"Poly(1,4-butylenesuccinate)","Trash/plastic/Polysuccinates/Poly(1,4-butylenesuccinate)"
Poly(ethylenesuccinate),Trash/plastic/Polysuccinates/Poly(ethylenesuccinate)
"Poly(1,6-hexylenesuccinate)","Trash/plastic/Polysuccinates/Poly(1,6-hexylenesuccinate)"
Poly(trimethylenesuccinate),Trash/plastic/Polysuccinates/Poly(trimethylenesuccinate)
Polyterephthalates,Trash/plastic/Polyterephthalates
PET,Trash/plastic/Polyterephthalates/PET
PBT,Trash/plastic/Polyterephthalates/PBT
PTT,Trash/plastic/Polyterephthalates/PTT
Poly(BisphenolAterephthalate),Trash/plastic/Polyterephthalates/Poly(BisphenolAterephthalate)
Poly(cyclohexylenedimethyleneterephthalate),Trash/plastic/Polyterephthalates/Poly(cyclohexylenedimethyleneterephthalate)
Poly(trimethyleneterephthalate),Trash/plastic/Polyterephthalates/Poly(trimethyleneterephthalate)
Polythioethers(Sulfides),Trash/plastic/Polythioethers(Sulfides)
"Poly(thio-1,4-phenylene)","Trash/plastic/Polythioethers(Sulfides)/Poly(thio-1,4-phenylene)"
Poly(ethylenesulfide),Trash/plastic/Polythioethers(Sulfides)/Poly(ethylenesulfide)
Poly(propylenesulfide),Trash/plastic/Polythioethers(Sulfides)/Poly(propylenesulfide)
Polyurethanes(isocyanates),Trash/plastic/Polyurethanes(isocyanates)
PU,Trash/plastic/Polyurethanes(isocyanates)/PU
"Poly[(diethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","Trash/plastic/Polyurethanes(isocyanates)/Poly[(diethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]"
"Poly[(tetraethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","Trash/plastic/Polyurethanes(isocyanates)/Poly[(tetraethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]"
"Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethanediisocyanate)]","Trash/plastic/Polyurethanes(isocyanates)/Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethanediisocyanate)]"
"Poly[(ethyleneglycol)-alt-(4,4'-diphenylmethanediisocyanate)]","Trash/plastic/Polyurethanes(isocyanates)/Poly[(ethyleneglycol)-alt-(4,4'-diphenylmethanediisocyanate)]"
"Poly[(polytetrahydrofuran1000)-alt-(4,4'-diphenylmethanediisocyanate)]","Trash/plastic/Polyurethanes(isocyanates)/Poly[(polytetrahydrofuran1000)-alt-(4,4'-diphenylmethanediisocyanate)]"
Polyvinylalcohols,Trash/plastic/Polyvinylalcohols
PVA,Trash/plastic/Polyvinylalcohols/PVA
Poly(4-vinylphenol),Trash/plastic/Polyvinylalcohols/Poly(4-vinylphenol)
Poly(vinylbutyral),Trash/plastic/Polyvinylalcohols/Poly(vinylbutyral)
Poly(vinylformal),Trash/plastic/Polyvinylalcohols/Poly(vinylformal)
Polyvinylesters,Trash/plastic/Polyvinylesters
Poly(vinylacetate),Trash/plastic/Polyvinylesters/Poly(vinylacetate)
Poly(vinylbenzoate),Trash/plastic/Polyvinylesters/Poly(vinylbenzoate)
Poly(vinylbutyrate),Trash/plastic/Polyvinylesters/Poly(vinylbutyrate)
Poly(vinylcaproate),Trash/plastic/Polyvinylesters/Poly(vinylcaproate)
Poly(vinylformate),Trash/plastic/Polyvinylesters/Poly(vinylformate)
Poly(vinylpropionate),Trash/plastic/Polyvinylesters/Poly(vinylpropionate)
Poly(vinylstearate),Trash/plastic/Polyvinylesters/Poly(vinylstearate)
Poly(vinylvalerate),Trash/plastic/Polyvinylesters/Poly(vinylvalerate)
Poly(butylvinylether),Trash/plastic/Polyvinylethers/Poly(butylvinylether)
Poly(ethylvinylether),Trash/plastic/Polyvinylethers/Poly(ethylvinylether)
Poly(hexylvinylether),Trash/plastic/Polyvinylethers/Poly(hexylvinylether)
Poly(isobutylvinylether),Trash/plastic/Polyvinylethers/Poly(isobutylvinylether)
Poly(isopropylvinylether),Trash/plastic/Polyvinylethers/Poly(isopropylvinylether)
Poly(methylvinylether),Trash/plastic/Polyvinylethers/Poly(methylvinylether)
Poly(octylvinylether),Trash/plastic/Polyvinylethers/Poly(octylvinylether)
Poly(propylvinylether),Trash/plastic/Polyvinylethers/Poly(propylvinylether)
Poly(sec-butylvinylether),Trash/plastic/Polyvinylethers/Poly(sec-butylvinylether)
Polyvinylketones,Trash/plastic/Polyvinylketones
Poly(vinylethylketone),Trash/plastic/Polyvinylketones/Poly(vinylethylketone)
Poly(vinylmethylketone),Trash/plastic/Polyvinylketones/Poly(vinylmethylketone)
Poly(methylisopropenylketone),Trash/plastic/Polyvinylketones/Poly(methylisopropenylketone)
Poly(vinylphenylketone),Trash/plastic/Polyvinylketones/Poly(vinylphenylketone)
Poly(vinylpyrrolidone),Trash/plastic/Polyvinylketones/Poly(vinylpyrrolidone)
Polyvinylsulfides,Trash/plastic/Polyvinylsulfides
Poly(vinylbutylsulfide),Trash/plastic/Polyvinylsulfides/Poly(vinylbutylsulfide)
Poly(vinylethylsulfide),Trash/plastic/Polyvinylsulfides/Poly(vinylethylsulfide)
Poly(vinylmethylsulfide),Trash/plastic/Polyvinylsulfides/Poly(vinylmethylsulfide)
Poly(vinylphenylsulfide),Trash/plastic/Polyvinylsulfides/Poly(vinylphenylsulfide)
Poly(vinylpropylsulfide),Trash/plastic/Polyvinylsulfides/Poly(vinylpropylsulfide)
