materials,pathString
Poly(isopropylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(isopropylacrylate)
Poly(methylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(methylacrylate)
Poly(octylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(octylacrylate)
Poly(propylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(propylacrylate)
Poly(sec-butylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(sec-butylacrylate)
Poly(stearylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(stearylacrylate)
Poly(tert-butylacrylate),Trash/plastic/Polyacrylates(Propenoates)/Poly(tert-butylacrylate)
"Poly(2,2,3,3-Tetrafluoropropylacrylate)","Trash/plastic/Polyacrylates(Propenoates)/Poly(2,2,3,3-Tetrafluoropropylacrylate)"
Polyacrylonitriles(Nitriles),Trash/plastic/Polyacrylonitriles(Nitriles)
PAN,Trash/plastic/Polyacrylonitriles(Nitriles)/PAN
Poly(methacrylonitrile),Trash/plastic/Polyacrylonitriles(Nitriles)/Poly(methacrylonitrile)
Poly(butyleneadipate),Trash/plastic/Polyacrylonitriles(Nitriles)/Poly(butyleneadipate)
Poly(ethyleneadipate),Trash/plastic/Polyacrylonitriles(Nitriles)/Poly(ethyleneadipate)
Poly(propyleneadipate),Trash/plastic/Polyacrylonitriles(Nitriles)/Poly(propyleneadipate)
Polyamides(POLYLACTAMS),Trash/plastic/Polyamides(POLYLACTAMS)
PA,Trash/plastic/Polyamides(POLYLACTAMS)/PA
Nylon3-Poly(propiolactam),Trash/plastic/Polyamides(POLYLACTAMS)/Nylon3-Poly(propiolactam)
Nylon6-Poly(caprolactam),Trash/plastic/Polyamides(POLYLACTAMS)/Nylon6-Poly(caprolactam)
Nylon8-Polycapryllactam,Trash/plastic/Polyamides(POLYLACTAMS)/Nylon8-Polycapryllactam
Nylon10-Poly(decano-10-lactam),Trash/plastic/Polyamides(POLYLACTAMS)/Nylon10-Poly(decano-10-lactam)
Nylon11-Poly(undecano-11-lactam),Trash/plastic/Polyamides(POLYLACTAMS)/Nylon11-Poly(undecano-11-lactam)
Nylon12-Poly(dodecano-12-lactam),Trash/plastic/Polyamides(POLYLACTAMS)/Nylon12-Poly(dodecano-12-lactam)
"Nylon4,6-Poly(tetramethyleneadipamide)","Trash/plastic/Polyamides(POLYLACTAMS)/Nylon4,6-Poly(tetramethyleneadipamide)"
"Nylon6,6-Poly(hexamethyleneadipamide)","Trash/plastic/Polyamides(POLYLACTAMS)/Nylon6,6-Poly(hexamethyleneadipamide)"
"Nylon6,9-Poly(hexamethyleneazelamide)","Trash/plastic/Polyamides(POLYLACTAMS)/Nylon6,9-Poly(hexamethyleneazelamide)"
"Nylon6,10-Poly(hexamethylenesebacamide)","Trash/plastic/Polyamides(POLYLACTAMS)/Nylon6,10-Poly(hexamethylenesebacamide)"
"Nylon6,12-Poly(hexamethylenedodecanediamide)","Trash/plastic/Polyamides(POLYLACTAMS)/Nylon6,12-Poly(hexamethylenedodecanediamide)"
"Nylon10,10-Poly(decamethylenesebacamide)","Trash/plastic/Polyamides(POLYLACTAMS)/Nylon10,10-Poly(decamethylenesebacamide)"
"Poly(hexamethyleneisophthalamide),PA6I","Trash/plastic/Polyamides(POLYLACTAMS)/Poly(hexamethyleneisophthalamide),PA6I"
"Poly(hexamethyleneteraphthalamide),PA6T","Trash/plastic/Polyamides(POLYLACTAMS)/Poly(hexamethyleneteraphthalamide),PA6T"
Kevlar-Polyaramide,Trash/plastic/Polyamides(POLYLACTAMS)/Kevlar-Polyaramide
Nomex-Poly(m-phenyleneterephthalamide),Trash/plastic/Polyamides(POLYLACTAMS)/Nomex-Poly(m-phenyleneterephthalamide)
"Poly(nonanmethyleneteraphthalamide),PA9T","Trash/plastic/Polyamides(POLYLACTAMS)/Poly(nonanmethyleneteraphthalamide),PA9T"
Polyanhydrides,Trash/plastic/Polyanhydrides
Poly(p-pentamethylenedibenzoicanhydride),Trash/plastic/Polyanhydrides/Poly(p-pentamethylenedibenzoicanhydride)
Poly(p-tetramethylenedibenzoicanhydride),Trash/plastic/Polyanhydrides/Poly(p-tetramethylenedibenzoicanhydride)
Poly(sebacicanhydride),Trash/plastic/Polyanhydrides/Poly(sebacicanhydride)
Poly(azelaicanhydride),Trash/plastic/Polyanhydrides/Poly(azelaicanhydride)
Polycarbontes,Trash/plastic/Polycarbontes
PC,Trash/plastic/Polycarbontes/PC
Poly(bisphenolAcarbonate),Trash/plastic/Polycarbonates/Poly(bisphenolAcarbonate)
"Poly(4,4'-thiodiphenylenecarbonate)","Trash/plastic/Polycarbonates/Poly(4,4'-thiodiphenylenecarbonate)"
Poly(bisphenolBcarbonate),Trash/plastic/Polycarbonates/Poly(bisphenolBcarbonate)
Poly(bisphenolFcarbonate),Trash/plastic/Polycarbonates/Poly(bisphenolFcarbonate)
Poly(ethylenecarbonate),Trash/plastic/Polycarbonates/Poly(ethylenecarbonate)
Poly(propylenecarbonate),Trash/plastic/Polycarbonates/Poly(propylenecarbonate)
"Poly(2,6,3',5'-tetrachlorobisphenolAcarbonate)","Trash/plastic/Polycarbonates/Poly(2,6,3',5'-tetrachlorobisphenolAcarbonate)"
Poly(tetramethylbisphenolAcarbonate),Trash/plastic/Polycarbonates/Poly(tetramethylbisphenolAcarbonate)
Polycyanoacrylates,Trash/plastic/Polycyanoacrylates
Poly(methylcyanoacrylate),Trash/plastic/Polycyanoacrylates/Poly(methylcyanoacrylate)
Poly(ethylcyanoacrylate),Trash/plastic/Polycyanoacrylates/Poly(ethylcyanoacrylate)
Poly(butylcyanoacrylate),Trash/plastic/Polycyanoacrylates/Poly(butylcyanoacrylate)
Poly(hexylcyanoacrylate),Trash/plastic/Polycyanoacrylates/Poly(hexylcyanoacrylate)
Poly(octylcyanoacrylate),Trash/plastic/Polycyanoacrylates/Poly(octylcyanoacrylate)
"Polydienes(Butadienes,Isoprenes)","Trash/plastic/Polydienes(Butadienes,Isoprenes)"
"Poly(1,2-butadiene)","Trash/plastic/Polydienes(Butadienes,Isoprenes)/Poly(1,2-butadiene)"
"Poly(1,4-butadiene)","Trash/plastic/Polydienes(Butadienes,Isoprenes)/Poly(1,4-butadiene)"
"Poly(1-ethyl-1,4-butadiene)","Trash/plastic/Polydienes(Butadienes,Isoprenes)/Poly(1-ethyl-1,4-butadiene)"
"1,4-Polyisoprene(cisandtrans)(Latex)","Trash/plastic/Polydienes(Butadienes,Isoprenes)/1,4-Polyisoprene(cisandtrans)(Latex)"
"Poly(1,4-pentadiene)","Trash/plastic/Polydienes(Butadienes,Isoprenes)/Poly(1,4-pentadiene)"
Poly(1-pentenylene),"Trash/plastic/Polydienes(Butadienes,Isoprenes)/Poly(1-pentenylene)"
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)","Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)"
ER,"Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)/ER"
Bisphenol-Adiglycidyletherepoxyresin,"Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)/Bisphenol-Adiglycidyletherepoxyresin"
Bisphenol-Fdiglycidyletherepoxyresin,"Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)/Bisphenol-Fdiglycidyletherepoxyresin"
Poly(bis-Adiglycidylether-alt-ethylenediamine),"Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)/Poly(bis-Adiglycidylether-alt-ethylenediamine)"
Poly(bis-Adiglycidylether-alt-hexamethylenediamine),"Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)/Poly(bis-Adiglycidylether-alt-hexamethylenediamine)"
Poly(bis-Adiglycidylether-alt-octamethylenediamine),"Trash/plastic/PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)/Poly(bis-Adiglycidylether-alt-octamethylenediamine)"
Polyesters,Trash/plastic/Polyesters
PEST,Trash/plastic/Polyesters/PEST
Poly(caprolactone),Trash/plastic/Polyesters/Poly(caprolactone)
Poly(ethylenenaphthalate),Trash/plastic/Polyesters/Poly(ethylenenaphthalate)
Poly(ethylenephthalate),Trash/plastic/Polyesters/Poly(ethylenephthalate)
Polyglycolide,Trash/plastic/Polyesters/Polyglycolide
