Level.1,Level.2,Level.3,Level.4,Level.5,Level.6
"cups, food trays, food wrappers, drink containers",juice packet,,,,
"cups, food trays, food wrappers, drink containers",salt packaging,,,,
"cups, food trays, food wrappers, drink containers",sauce packet,,,,
"cups, food trays, food wrappers, drink containers",singlue use food container,,,,
"cups, food trays, food wrappers, drink containers",straws,degraded straws,,,
"cups, plates, tableware, dishes",4 OR 6 pack yokes,"six-pack rings, ring carriers",,,
"cups, plates, tableware, dishes","cups, plastes, forks, knives, spoons","cups, plates, utensils",utensil,,
"cups, plates, tableware, dishes","cups, plastes, forks, knives, spoons","cups, plates, utensils",coffee cup,coffee cup lid,
"cups, plates, tableware, dishes",cutlery OR trays OR straws OR cups,cutlery OR trays OR straws,cutlery OR trays,,
"cups, plates, tableware, dishes",street food bowl,,,,
"cups, plates, tableware, dishes",tableware,napkins,,,
film (think OR flexible e.g. straw wrapper),thin film,filmfragments,,,
film (think OR flexible e.g. straw wrapper),thin film,tape,masking tape,,
filmstrip,,,,,
fishing related,bait containers OR crates OR lures,bait containers OR crates,bait containers OR packaging,bait containers,
fishing related,bobbins (fishing),,,,
fishing related,fish aggregating devices,,,,
fishing related,fish boxes,,,,
fishing related,fish hook,,,,
fishing related,fishing line,fishing line (entangled),,,
fishing related,fishing line,fishing line (anglers),,,
fishing related,fishing line OR net,filament <5mm,,,
fishing related,fishing line OR net,monofilament net OR fiber up to 5mm,,,
fishing related,fishing line OR net,monofilament net OR fiber 5-30mm,,,
fishing related,fishing line OR net,monofilament net OR fiber larger than 30mm,,,
fishing related,fishing line OR net,nets and pieces of net,fishing nets,,
fishing related,fishing line OR net,nets and pieces of net,nets and pieces of net <50 cm,,
fishing related,fishing line OR net,nets and pieces of net,nets and pieces of net >50cm,,
fishing related,fishing line OR net,nets and pieces of net,fishingnetandnetpieces>50cm,,
fishing related,fishing lures & line,fishing lures or light sticks,fishing lures,,
fishing related,fishing rubbertail baits & weights,fishing weights,scuba weights,,
fishing related,fishing traps and pots,fish pot,,,
fishing related,fishing traps and pots,fishpot(eel),,,
fishing related,fishing traps and pots,octopus pots,,,
fishing related,fishing traps and pots,trap OR pot pieces,,,
fishing related,fishing traps and pots,crab or lobster or fish traps,crab trap in need of removal,,
fishing related,fishing traps and pots,crab or lobster or fish traps,crab trap that has been removed,,
fishing related,fishing traps and pots,derelicttraps OR trappieces,,,
fishing related,fishing traps and pots,lobster OR crab pots & tops,,,
fishing related,"fishing: lures, rods OR poles",,,,
fishing related,"fishing: sinkers, lures, hooks",,,,
fishing related,fishingweights OR hooks OR lures,,,,
fishing related,floats (fishing buoys) OR reels,"fishing bouys, pots & traps",buoys & floats,buoys,
fishing related,floats (fishing buoys) OR reels,"fishing bouys, pots & traps",buoys & floats,floats for fishing nets,
fishing related,lobster and fish tags,,,,
fishing related,lobster claw bands,,,,
fishing related,oyster nets or mussel bags including plastic stoppers,,,,
fishing related,oyster trays (round from oyster cultures),,,,
fishing related,"sails, canvas",,,,
fishing related,scuba&snorkelgear,fin trees (from fins for scuba diving),,,
foil,,,,,
fragments,fibre glass OR fragments,,,,
hooksett disks,,,,,
industrialpackaging OR crates OR sheeting,,,,,
large debris items,"advertisements, signs",forsale posters,,,
large debris items,"advertisements, signs",election posters,,,
large debris items,anchor,,,,
large debris items,"appliances, bikes, carts",appliances,,,
large debris items,beams OR dunnage,,,,
large debris items,carpet & furnishing,carpet (synthetic),,,
large debris items,carpet & furnishing,floor cover,,,
large debris items,carpet & furnishing,furniture,,,
large debris items,carts OR parts,,,,
large debris items,"constructionmaterial(brick,cement,pipes)","bar, pipe, or wire",pipes & rebar,piping,
large debris items,"constructionmaterial(brick,cement,pipes)","bricks, cinderblocks, chunks of cement",,,
large debris items,fencing,,,,
large debris items,fertilizer OR animal feed bags,,,,
large debris items,filter box,,,,
large debris items,inner-tubes & rubber sheets,,,,
large debris items,mattress OR foam,,,,
large debris items,plasters,,,,
large debris items,scrap OR metal appliances OR paint tins,,,,
large debris items,shopping trolleys,,,,
large debris items,signs OR cones,traffic cones,,,
large debris items,"wire, wire mesh, barbed wire",,,,
light bulbs OR tubes,"light globes: bulbs, etc",,,,
light bulbs OR tubes,light sticks (tubes with fluid),,,,
lumber OR building material,wood boards,pallets,,,
macroplastics,,,,,
medium plastics,,,,,
miscellaneous items,other identifiable items,,,,
miscellaneous items,other mixed,,,,
miscellaneous items,toilet fresheners,,,,
non-food related plastic packaging,,,,,
"other bottles, containers and drums",aerosol cans,,,,
"other bottles, containers and drums",chemicals and chemical containers,,,,
"other bottles, containers and drums","baskets, crates",,,,
"other bottles, containers and drums",barrels,,,,
"other bottles, containers and drums","buckets, drums & jerry cans: 2 litres or more",,,,
"other bottles, containers and drums","cleaner(bottles,containersanddrums)",,,,
"other bottles, containers and drums",drums,drums: 55 gallon,,,
"other bottles, containers and drums",drums,oil drums,,,
"other bottles, containers and drums","gas bottles, drums & buckets (>4L)",,,,
"other bottles, containers and drums",non-beverage containers OR bottles,"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock",,,
"other bottles, containers and drums",non-beverage containers OR bottles,"bottles: bleach, cleaner",,,
"other bottles, containers and drums",non-beverage containers OR bottles,bottles: oil OR lube,,,
"other bottles, containers and drums",non-beverage containers OR bottles,buckets,,,
"other bottles, containers and drums",non-beverage containers OR bottles,containers OR tubes,,,
"other bottles, containers and drums",non-beverage containers OR bottles,"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)",,,
"other bottles, containers and drums",non-beverage containers OR bottles,crates and containers OR baskets,crates and containers,crates,
"other bottles, containers and drums",non-beverage containers OR bottles,jerry cans (square plastic containers with handle),,,
"other bottles, containers and drums",non-beverage containers OR bottles,middle size containers,,,
"other bottles, containers and drums",non-beverage containers OR bottles,oil or petrol can,engine oil bottles & containers <50 cm,,
"other bottles, containers and drums",non-beverage containers OR bottles,oil or petrol can,engine oil bottles & containers >50 cm,,
"other bottles, containers and drums",non-beverage containers OR bottles,other cans (<4l),,,
"other bottles, containers and drums",non-beverage containers OR bottles,other jugs or containers,,,
other organic waste,bagged dog faeces,,,,
other organic waste,dog poop (unbagged),,,,
other organic waste,food,drinks,sports drink,,
other organic waste,food,drinks,coffee other,,
other organic waste,food,drinks,alcohol other,,
other organic waste,oil OR tar,oil,,,
other organic waste,slack OR coal,,,,
packaging,shipping OR packaging,insulation & packaging,,,
paint brushes,,,,,
paint tins,,,,,
paper,cardboard,,,,
paper,"newspaper, books",books,,,
paper,newspapers & magazines,magazines,,,
paper,paper OR napkins OR tissues,,,,
paper,parking tickets & reciepts,reciepts,,,
paraffin OR wax,,,,,
pellet,industrial pellets,,,,
pellet,resin pellets,,,,
pellet,threadlike user pellets,,,,
pens OR pencils,pens,,,,
personal care products,bandages,,,,
personal care products,blister pack,,,,
personal care products,combs OR hairbrushes OR sunglasses,combs OR hairbrushes,,,
personal care products,combs OR hairbrushes OR sunglasses,sunglasses,,,
personal care products,contraceptives,,,,
personal care products,cotton bud sticks,,,,
personal care products,drugs,,,,
personal care products,ear plugs,,,,
personal care products,femininehygeneitems,,,,
personal care products,hair tie,,,,
personal care products,inhaler,,,,
personal care products,medical OR pharmaceuticals containers OR tubes,"other medical items (swabs, bandaging etc.)",,,
personal care products,personal care product tube,,,,
personal care products,sanitary product,condoms,,,
personal care products,sanitary product,injection gun containers,,,
personal care products,sanitary product,wet wipes,,,
personal care products,sanitary product,diapers OR nappies,diapers,,
personal care products,sanitary product,tooth pick,,,
personal care products,sanitary product,toilet paper,,,
personal care products,sanitary product,toothbrushes,,,
personal care products,sanitary product,dental flossers,,,
personal care products,sanitary product,towels OR panty liners OR backing strips,panty liners,,
personal care products,sanitary product,sanitary towel OR tampon,tampons OR tampon applicators,tampon applicators,
personal care products,sanitary product,sanitary towel OR tampon,tampons OR tampon applicators,tampons,
personal care products,sanitary product,sanitary towel OR tampon,sanitary towels,,
personal care products,"sharp needles, lancets, metal catheters",,,,
personal care products,syringes,drug paraphanalia OR syringes,,,
personal care products,toiletries,deoderant,,,
personal care products,toiletries,face mask,,,
rope OR fishing line,rope,rope <1 meter,,,
rope OR fishing line,rope,rope >1 meter,,,
rope OR fishing line,rope,rope diameter <1 cm,,,
rope OR fishing line,rope,rope diameter >1 cm,,,
rope OR fishing line,rope,rope large,,,
rope OR fishing line,rope,rope medium,,,
rope OR fishing line,rope,rope small,,,
rope OR fishing line,ropes OR strapping bands,strapping bands,strapping bands OR zip-ties,,
rope OR fishing line,ropes OR strapping bands,strapping bands,strapping bands (open),,
rope OR fishing line,ropes OR strapping bands,strapping bands,strapping bands (closed),,
rubber bands,,,,,
sheeting,sheeting <30cm,,,,
sheeting,sheeting >60cm,,,,
sheeting,sheeting 30-60 cm,,,,
sheeting,"sheeting: tarpaulin, plastic sheets, palette wrap",agricultural tarpaulin and packaging,,,
sheeting,sheetlike user pellets,,,,
sheeting,sheetlikeuserplastic(>1mm),,,,
shotgun cartridges,,,,,
sponge,,,,,
tangled nets OR cord OR rope and string,rope & string,string,,,
tobacco packaging & wrappers,cigar tips,,,,
tobacco packaging & wrappers,cigarette materials,cigarette butts and filters,cigarette filters,,
tobacco packaging & wrappers,cigarette materials,cigarette butts and filters,cigarette butts,,
tobacco packaging & wrappers,cigarette materials,cigarette lighters OR tobacco pouches,cigarette packets,,
tobacco packaging & wrappers,cigarette materials,cigarette lighters OR tobacco pouches,cigarette lighters,degraded lighters,
tobacco packaging & wrappers,cigarette materials,cigarette lighters OR tobacco pouches,tobacco sachets,,
tobacco packaging & wrappers,cigarettes OR cigar tips,,,,
toys OR party poppers OR fireworks OR dummies,"balloon, tennis ball, football, dog toy",balloons and balloon sticks,balloons,,
toys OR party poppers OR fireworks OR dummies,fireworks,tubes for fireworks,,,
toys OR party poppers OR fireworks OR dummies,fireworks,matches (& fireworks),,,
toys OR party poppers OR fireworks OR dummies,"toys, balls, party poppers","toys, balls",balls,football,
toys OR party poppers OR fireworks OR dummies,"toys, balls, party poppers","toys, balls",balls,golf ball,
toys OR party poppers OR fireworks OR dummies,"toys, balls, party poppers","toys, balls",pegs and chips,,
toys OR party poppers OR fireworks OR dummies,"toys, balls, party poppers",toys & party poppers,,,
toys OR party poppers OR fireworks OR dummies,"toys, balls, party poppers",toys,,,
trap,wooden trap,,,,
wire,cables,,,,
microplastic,Fiber,,,,
microplastic,Nurdle,,,,
microplastic,Foam,,,,
microplastic,Sphere,,,,
microplastic,Line,,,,
microplastic,Bead,,,,
microplastic,Sheet,,,,
microplastic,Film;Fragment,Film,,,
microplastic,Film;Fragment,Fragment,,,
microplastic,Rubbery fragment,,,,
microplastic,Fiber bundle,,,,
microplastic,Other,,,,
