"","Brand","ItemDescription"
"197","Tian Mei","packing"
"198","Ba Wang Shampoo","packing"
"199","Mei Ao Jian","packing"
"200","Fukkol","lubricant bottle"
"201","Unidentified Brands","packing"
"202","Autochem","lubricant bottle"
"203","Q","packing"
"204","Jing Gang Agricultural Chemical","packing"
"205","Mask Unknown","packing"
"206","Drug Bottle Un Branded","packing"
"207","Perfume","packing"
"208","Dow Sealant","packing"
"209","Glassil Sealant","packing"
"210","Unilever","packing"
"211","Mu Ai","packing"
"212","Fishing Tool Unknown","packing"
"213","Ye Zhan Fishing Tool","packing"
"214","Mannings Tissue","packing"
"215","De Yi","packing"
"216","Texas Snack","packing"
"217","Pak Fook Tofu","packing"
"218","Four Seasons","packing"
"219","Tao Yuan","packing"
"220","Food Tray Unknown","packing"
"221","Gang Rong","packing"
"222","Yi Zhen Jing","packing"
"223","Wei Mei Xin","packing"
"224","Niao Chong","packing"
"225","Shan Jiao","packing"
"226","Midi","packing"
"227","Freezer Bag Unknown","packing"
"228","Nan Bei","packing"
"229","Noodle Unknown","packing"
"230","Yue Qin Nhua","packing"
"231","Wu Qiong","packing"
"232","Da Li Yuan","packing"
"233","Chang Sheng","packing"
"234","Xiao Diao Yu Li","packing"
"235","Huo Li Wu Qiong","packing"
"236","Off Mosquito Repellant","packing"
"237","Fishing Bait Unknown","packing"
"238","Garden","packing"
"239","Mai De Hao","packing"
"240","Fishing Tool Unknown","packing"
"241","Unidentified Brands","Plastic bottle"
"242","Unidentified Brands","beverage can"
"243","Sze Hing Loong Snack","packing"
"244","Coca Cola","Plastic bottle"
"245","Ribena","Plastic bottle"
"246","Watsons","Plastic bottle"
"247","Jun Lu","Plastic bottle"
"248","Coca Cola Tea","Plastic bottle"
"249","Lucozade","Plastic bottle"
"250","Tao Ti","Plastic bottle"
"251","Vita","Plastic bottle"
"252","Hung Fook Tong","Plastic bottle"
"253","Pocari Sweat","Plastic bottle"
"254","Meko","Plastic bottle"
"255","Energy Watt","Plastic bottle"
"256","Evian","Plastic bottle"
"257","Cr C'Estbon","Plastic bottle"
"258","Nongfu Spring","Plastic bottle"
"259","Master Kong","Plastic bottle"
"260","Genten","Plastic bottle"
"261","Coca Cola (China)","Plastic bottle"
"262","Hua Di Shan","Plastic bottle"
"263","Dong Peng","Plastic bottle"
"264","Gan Bi","Plastic bottle"
"265","Nestle","Plastic bottle"
"266","123","Plastic bottle"
"267","Mai Dong","Plastic bottle"
"268","Wahaha","Plastic bottle"
"269","Lun Mai","Plastic bottle"
"270","Bi Gui Yuan","Plastic bottle"
"271","Jiu Long Feng","Plastic bottle"
"272","Qq Star","Plastic bottle"
