"","Brand","ItemDescription"
"22361","Unknown","Plastic straw"
"22362","Unknown","Plastic straw"
"22363","Unknown","Plastic straw"
"22364","Unknown","Plastic straw"
"22365","Unknown","Plastic straw"
"22366","Unknown","Plastic straw"
"22367","Unknown","Plastic straw"
"22368","Unknown","Plastic straw"
"22369","Unknown","Plastic straw"
"22370","Unknown","Plastic straw"
"22371","Unknown","Plastic straw"
"22372","Unknown","Plastic straw"
"22373","Unknown","Plastic straw"
"22374","mcdonalds","Plastic straw"
"22375","mcdonalds","Plastic straw"
"22376","mcdonalds","Plastic straw"
"22377","mcdonalds","Plastic straw"
"22378","mcdonalds","Plastic straw"
"22379","starbucks","Plastic straw"
"22380","starbucks","Plastic straw"
"22381","starbucks","Plastic straw"
"22382","Unknown","lids"
"22383","Unknown","lids"
"22384","Unknown","lids"
"22385","Unknown","lids"
"22386","Unknown","forks, knives, spoons"
"22387","Unknown","forks, knives, spoons"
"22388","Unknown","forks, knives, spoons"
"22389","Unknown","forks, knives, spoons"
"22390","Unknown","forks, knives, spoons"
"22391","Unknown","forks, knives, spoons"
"22392","Unknown","forks, knives, spoons"
"22393","Unknown","forks, knives, spoons"
"22394","Unknown","forks, knives, spoons"
"22395","Unknown","forks, knives, spoons"
"22396","Unknown","forks, knives, spoons"
"22397","Unknown","forks, knives, spoons"
"22398","Unknown","forks, knives, spoons"
"22399","Unknown","forks, knives, spoons"
"22400","Unknown","forks, knives, spoons"
"22401","Unknown","forks, knives, spoons"
"22402","Unknown","forks, knives, spoons"
"22403","Unknown","forks, knives, spoons"
"22404","Unknown","forks, knives, spoons"
"22405","Unknown","forks, knives, spoons"
"22406","Unknown","forks, knives, spoons"
"22407","Unknown","forks, knives, spoons"
"22408","Unknown","forks, knives, spoons"
"22409","Unknown","forks, knives, spoons"
"22410","Unknown","forks, knives, spoons"
"22411","Unknown","forks, knives, spoons"
"22412","Unknown","forks, knives, spoons"
"22413","Unknown","forks, knives, spoons"
"22414","Unknown","forks, knives, spoons"
"22415","Unknown","forks, knives, spoons"
"22416","Unknown","forks, knives, spoons"
"22417","Unknown","forks, knives, spoons"
"22418","Unknown","forks, knives, spoons"
"22419","Unknown","forks, knives, spoons"
"22420","Unknown","forks, knives, spoons"
"22421","Unknown","forks, knives, spoons"
"22422","Unknown","forks, knives, spoons"
"22423","Unknown","forks, knives, spoons"
"22424","Unknown","forks, knives, spoons"
"22425","Unknown","forks, knives, spoons"
"22426","Unknown","lids"
"22427","Unknown","lids"
"22428","Unknown","lids"
"22429","Unknown","lids"
"22430","Unknown","lids"
"22431","Unknown","lids"
"22432","Unknown","lids"
"22433","Unknown","lids"
"22434","Unknown","lids"
"22435","Unknown","lids"
"22436","Unknown","lids"
"22437","Unknown","lids"
"22438","Unknown","lids"
"22439","Unknown","lids"
"22440","Unknown","lids"
"22441","Unknown","lids"
"22442","Unknown","lids"
"22443","Unknown","lids"
"22444","Unknown","lids"
"22445","Unknown","lids"
"22446","Unknown","lids"
"22447","Unknown","lids"
"22448","Unknown","lids"
"22449","Unknown","lids"
"22450","Unknown","lids"
"22451","Unknown","lids"
"22452","Unknown","lids"
"22453","Unknown","lids"
"22454","Unknown","lids"
"22455","Unknown","lids"
"22456","Unknown","Plastic Bags"
"22457","Unknown","Plastic Bags"
"22458","Unknown","Plastic Bags"
"22459","Unknown","Plastic Bags"
"22460","Unknown","Plastic Bags"
"22461","Unknown","Plastic Bags"
"22462","Unknown","Plastic Bags"
"22463","Unknown","Plastic Bags"
"22464","Unknown","Plastic Bags"
"22465","Unknown","Plastic Bags"
"22466","Unknown","Plastic Bags"
"22467","Unknown","Plastic Bags"
"22468","Unknown","Plastic Bags"
"22469","Unknown","Plastic Bags"
"22470","Unknown","Plastic Bags"
"22471","Unknown","Plastic Bags"
"22472","Unknown","Plastic Bags"
"22473","Unknown","Plastic Bags"
"22474","Unknown","Plastic Bags"
"22475","Unknown","Plastic Bags"
"22476","Unknown","boxes"
"22477","Unknown","boxes"
"22478","Unknown","boxes"
"22479","Taco Bell","Sachets"
"22480","Taco Bell","Sachets"
"22481","Taco Bell","Sachets"
"22482","Taco Bell","Sachets"
"22483","Taco Bell","Sachets"
"22484","Taco Bell","Sachets"
"22485","Taco Bell","Sachets"
"22486","Taco Bell","Sachets"
"22487","Taco Bell","Sachets"
"22488","Taco Bell","Sachets"
"22489","Unknown","Sachets"
"22490","Unknown","Sachets"
"22491","Unknown","Sachets"
"22492","Unknown","Sachets"
"22493","Unknown","Sachets"
"22494","Unknown","Sachets"
"22495","Unknown","Sachets"
"22496","Unknown","Sachets"
"22497","Unknown","Sachets"
"22498","Unknown","Sachets"
"22499","McDonalds","Sachets"
"22500","McDonalds","Sachets"
"22501","McDonalds","Sachets"
"22502","McDonalds","Sachets"
"22503","McDonalds","Sachets"
"22504","McDonalds","Sachets"
"22505","McDonalds","Sachets"
"22506","McDonalds","Sachets"
"22507","McDonalds","Sachets"
"22508","McDonalds","Sachets"
"22509","McDonalds","Sachets"
"22510","McDonalds","Sachets"
"22511","McDonalds","Sachets"
"22512","McDonalds","Sachets"
"22513","McDonalds","Sachets"
"22514","McDonalds","Sachets"
"22515","McDonalds","Sachets"
"22516","McDonalds","Sachets"
"22517","McDonalds","Sachets"
"22518","McDonalds","Sachets"
"22519","Unknown","bottle caps and rings"
"22520","Unknown","bottle caps and rings"
"22521","Unknown","bottle caps and rings"
"22522","Unknown","bottle caps and rings"
"22523","Unknown","bottle caps and rings"
"22524","Unknown","bottle caps and rings"
"22525","Unknown","bottle caps and rings"
"22526","Unknown","bottle caps and rings"
"22527","Unknown","bottle caps and rings"
"22528","Unknown","bottle caps and rings"
"22529","Unknown","bottle caps and rings"
"22530","Unknown","bottle caps and rings"
"22531","Unknown","bottle caps and rings"
"22532","Unknown","bottle caps and rings"
"22533","Unknown","bottle caps and rings"
"22534","Unknown","bottle caps and rings"
"22535","Unknown","bottle caps and rings"
"22536","Unknown","bottle caps and rings"
"22537","Unknown","bottle caps and rings"
"22538","Unknown","bottle caps and rings"
"22539","Unknown","bottle caps and rings"
"22540","Unknown","bottle caps and rings"
"22541","Unknown","bottle caps and rings"
"22542","Unknown","bottle caps and rings"
"22543","Unknown","bottle caps and rings"
"22544","Unknown","bottle caps and rings"
"22545","Unknown","bottle caps and rings"
"22546","Unknown","bottle caps and rings"
"22547","Unknown","bottle caps and rings"
"22548","Unknown","bottle caps and rings"
"22549","Unknown","menstrual products"
"22550","Unknown","menstrual products"
"22551","Unknown","menstrual products"
"22552","Unknown","menstrual products"
"22553","Unknown","menstrual products"
"22554","Unknown","toothpicks, floss"
"22555","Unknown","toothpicks, floss"
"22556","Unknown","toothpicks, floss"
"22557","Unknown","toothpicks, floss"
"22558","Unknown","toothpicks, floss"
"22559","Unknown","oil containers"
"22560","Unknown","oil containers"
"22561","Unknown","tarps"
"22562","Unknown","tarps"
"22563","Unknown","light stick"
"22564","Unknown","light stick"
"22565","Unknown","reading materials"
"22566","Unknown","reading materials"
"22567","Unknown","reading materials"
"22568","Unknown","reading materials"
"22569","Unknown","reading materials"
"22570","Unknown","reading materials"
"22571","Unknown","reading materials"
"22572","Unknown","reading materials"
"22573","Unknown","reading materials"
"22574","Unknown","reading materials"
"22575","Unknown","miscellaneous fragment"
"22576","Unknown","miscellaneous fragment"
"22577","Unknown","miscellaneous fragment"
"22578","Unknown","miscellaneous fragment"
"22579","Unknown","miscellaneous fragment"
"22580","Unknown","miscellaneous fragment"
"22581","Unknown","miscellaneous fragment"
"22582","Unknown","miscellaneous fragment"
"22583","Unknown","miscellaneous fragment"
"22584","Unknown","miscellaneous fragment"
"22585","Unknown","miscellaneous fragment"
"22586","Unknown","miscellaneous fragment"
"22587","Unknown","miscellaneous fragment"
"22588","Unknown","miscellaneous fragment"
"22589","Unknown","miscellaneous fragment"
"22590","Unknown","miscellaneous fragment"
"22591","Unknown","miscellaneous fragment"
"22592","Unknown","miscellaneous fragment"
"22593","Unknown","miscellaneous fragment"
"22594","Unknown","miscellaneous fragment"
"22595","Unknown","miscellaneous fragment"
"22596","Unknown","miscellaneous fragment"
"22597","Unknown","miscellaneous fragment"
"22598","Unknown","miscellaneous fragment"
"22599","Unknown","miscellaneous fragment"
"22600","Unknown","miscellaneous fragment"
"22601","Unknown","miscellaneous fragment"
"22602","Unknown","miscellaneous fragment"
"22603","Unknown","miscellaneous fragment"
"22604","Unknown","miscellaneous fragment"
"22605","Unknown","miscellaneous fragment"
"22606","Unknown","miscellaneous fragment"
"22607","Unknown","miscellaneous fragment"
"22608","Unknown","miscellaneous fragment"
"22609","Unknown","miscellaneous fragment"
"22610","Unknown","miscellaneous fragment"
"22611","Unknown","miscellaneous fragment"
"22612","Unknown","miscellaneous fragment"
"22613","Unknown","miscellaneous fragment"
"22614","Unknown","miscellaneous fragment"
"22615","Unknown","miscellaneous fragment"
"22616","Unknown","miscellaneous fragment"
"22617","Unknown","miscellaneous fragment"
"22618","Unknown","miscellaneous fragment"
"22619","Unknown","miscellaneous fragment"
"22620","Unknown","miscellaneous fragment"
"22621","Unknown","miscellaneous fragment"
"22622","Unknown","miscellaneous fragment"
"22623","Unknown","miscellaneous fragment"
"22624","Unknown","miscellaneous fragment"
"22625","Unknown","miscellaneous fragment"
"22626","Unknown","miscellaneous fragment"
"22627","Unknown","miscellaneous fragment"
"22628","Unknown","miscellaneous fragment"
"22629","Unknown","miscellaneous fragment"
"22630","Unknown","miscellaneous fragment"
"22631","Unknown","miscellaneous fragment"
"22632","Unknown","miscellaneous fragment"
"22633","Unknown","miscellaneous fragment"
"22634","Unknown","miscellaneous fragment"
"22635","Unknown","miscellaneous fragment"
"22636","Unknown","miscellaneous fragment"
"22637","Unknown","miscellaneous fragment"
"22638","Unknown","miscellaneous fragment"
"22639","Unknown","miscellaneous fragment"
"22640","Unknown","miscellaneous fragment"
"22641","Unknown","miscellaneous fragment"
"22642","Unknown","miscellaneous fragment"
"22643","Unknown","miscellaneous fragment"
"22644","Unknown","miscellaneous fragment"
"22645","Unknown","miscellaneous fragment"
"22646","Unknown","miscellaneous fragment"
"22647","Unknown","miscellaneous fragment"
"22648","Unknown","miscellaneous fragment"
"22649","Unknown","miscellaneous fragment"
"22650","Unknown","miscellaneous fragment"
"22651","Unknown","miscellaneous fragment"
"22652","Unknown","miscellaneous fragment"
"22653","Unknown","miscellaneous fragment"
"22654","Unknown","miscellaneous fragment"
"22655","Unknown","miscellaneous fragment"
"22656","Unknown","miscellaneous fragment"
"22657","Unknown","miscellaneous fragment"
"22658","Unknown","miscellaneous fragment"
"22659","Unknown","miscellaneous fragment"
"22660","Unknown","miscellaneous fragment"
"22661","Unknown","miscellaneous fragment"
"22662","Unknown","miscellaneous fragment"
"22663","Unknown","miscellaneous fragment"
"22664","Unknown","miscellaneous fragment"
"22665","Unknown","miscellaneous fragment"
"22666","Unknown","miscellaneous fragment"
"22667","Unknown","miscellaneous fragment"
"22668","Unknown","miscellaneous fragment"
"22669","Unknown","miscellaneous fragment"
"22670","Unknown","miscellaneous fragment"
"22671","Unknown","miscellaneous fragment"
"22672","Unknown","miscellaneous fragment"
"22673","Unknown","miscellaneous fragment"
"22674","Unknown","miscellaneous fragment"
"22675","Unknown","miscellaneous fragment"
"22676","Unknown","miscellaneous fragment"
"22677","Unknown","miscellaneous fragment"
"22678","Unknown","miscellaneous fragment"
"22679","Unknown","miscellaneous fragment"
"22680","Unknown","miscellaneous fragment"
"22681","Unknown","miscellaneous fragment"
"22682","Unknown","miscellaneous fragment"
"22683","Unknown","miscellaneous fragment"
"22684","Unknown","miscellaneous fragment"
"22685","Unknown","miscellaneous fragment"
"22686","Unknown","miscellaneous fragment"
"22687","Unknown","miscellaneous fragment"
"22688","Unknown","miscellaneous fragment"
"22689","Unknown","miscellaneous fragment"
"22690","Unknown","miscellaneous fragment"
"22691","Unknown","miscellaneous fragment"
"22692","Unknown","miscellaneous fragment"
"22693","Unknown","miscellaneous fragment"
"22694","Unknown","miscellaneous fragment"
"22695","Unknown","miscellaneous fragment"
"22696","Unknown","miscellaneous fragment"
"22697","Unknown","miscellaneous fragment"
"22698","Unknown","miscellaneous fragment"
"22699","Unknown","miscellaneous fragment"
"22700","Unknown","miscellaneous fragment"
"22701","Unknown","miscellaneous fragment"
"22702","Unknown","miscellaneous fragment"
"22703","Unknown","miscellaneous fragment"
"22704","Unknown","miscellaneous fragment"
"22705","Unknown","miscellaneous fragment"
"22706","Unknown","miscellaneous fragment"
"22707","Unknown","miscellaneous fragment"
"22708","Unknown","miscellaneous fragment"
"22709","Unknown","miscellaneous fragment"
"22710","Unknown","miscellaneous fragment"
"22711","Unknown","miscellaneous fragment"
"22712","Unknown","miscellaneous fragment"
"22713","Unknown","miscellaneous fragment"
"22714","Unknown","miscellaneous fragment"
"22715","Unknown","miscellaneous fragment"
"22716","Unknown","miscellaneous fragment"
"22717","Unknown","miscellaneous fragment"
"22718","Unknown","miscellaneous fragment"
"22719","Unknown","miscellaneous fragment"
"22720","Unknown","miscellaneous fragment"
"22721","Unknown","miscellaneous fragment"
"22722","Unknown","miscellaneous fragment"
"22723","Unknown","miscellaneous fragment"
"22724","Unknown","miscellaneous fragment"
"22725","Unknown","miscellaneous fragment"
"22726","Unknown","miscellaneous fragment"
"22727","Unknown","miscellaneous fragment"
"22728","Unknown","miscellaneous fragment"
"22729","Unknown","miscellaneous fragment"
"22730","Unknown","miscellaneous fragment"
"22731","Unknown","miscellaneous fragment"
"22732","Unknown","miscellaneous fragment"
"22733","Unknown","miscellaneous fragment"
"22734","Unknown","miscellaneous fragment"
"22735","Unknown","miscellaneous fragment"
"22736","Unknown","miscellaneous fragment"
"22737","Unknown","miscellaneous fragment"
"22738","Unknown","miscellaneous fragment"
"22739","Unknown","miscellaneous fragment"
"22740","Unknown","miscellaneous fragment"
"22741","Unknown","miscellaneous fragment"
"22742","Unknown","miscellaneous fragment"
"22743","Unknown","miscellaneous fragment"
"22744","Unknown","miscellaneous fragment"
"22745","Unknown","miscellaneous fragment"
"22746","Unknown","miscellaneous fragment"
"22747","Unknown","miscellaneous fragment"
"22748","Unknown","miscellaneous fragment"
"22749","Unknown","miscellaneous fragment"
"22750","Unknown","miscellaneous fragment"
"22751","Unknown","miscellaneous fragment"
"22752","Unknown","miscellaneous fragment"
"22753","Unknown","miscellaneous fragment"
"22754","Unknown","miscellaneous fragment"
"22755","Unknown","miscellaneous fragment"
"22756","Unknown","miscellaneous fragment"
"22757","Unknown","miscellaneous fragment"
"22758","Unknown","miscellaneous fragment"
"22759","Unknown","miscellaneous fragment"
"22760","Unknown","miscellaneous fragment"
"22761","Unknown","miscellaneous fragment"
"22762","Unknown","miscellaneous fragment"
"22763","Unknown","miscellaneous fragment"
"22764","Unknown","miscellaneous fragment"
"22765","Unknown","miscellaneous fragment"
"22766","Unknown","miscellaneous fragment"
"22767","Unknown","miscellaneous fragment"
"22768","Unknown","miscellaneous fragment"
"22769","Unknown","miscellaneous fragment"
"22770","Unknown","miscellaneous fragment"
"22771","Unknown","miscellaneous fragment"
"22772","Unknown","miscellaneous fragment"
"22773","Unknown","miscellaneous fragment"
"22774","Unknown","miscellaneous fragment"
"22775","Unknown","miscellaneous fragment"
"22776","Unknown","miscellaneous fragment"
"22777","Unknown","miscellaneous fragment"
"22778","Unknown","miscellaneous fragment"
"22779","Unknown","miscellaneous fragment"
"22780","Unknown","miscellaneous fragment"
"22781","Unknown","miscellaneous fragment"
"22782","Unknown","miscellaneous fragment"
"22783","Unknown","miscellaneous fragment"
"22784","Unknown","miscellaneous fragment"
"22785","Unknown","miscellaneous fragment"
"22786","Unknown","miscellaneous fragment"
"22787","Unknown","miscellaneous fragment"
"22788","Unknown","miscellaneous fragment"
"22789","Unknown","miscellaneous fragment"
"22790","Unknown","miscellaneous fragment"
"22791","Unknown","miscellaneous fragment"
"22792","Unknown","miscellaneous fragment"
"22793","Unknown","miscellaneous fragment"
"22794","Unknown","miscellaneous fragment"
"22795","Unknown","miscellaneous fragment"
"22796","Unknown","miscellaneous fragment"
"22797","Unknown","miscellaneous fragment"
"22798","Unknown","miscellaneous fragment"
"22799","Unknown","miscellaneous fragment"
"22800","Unknown","miscellaneous fragment"
"22801","Unknown","miscellaneous fragment"
"22802","Unknown","miscellaneous fragment"
"22803","Unknown","miscellaneous fragment"
"22804","Unknown","miscellaneous fragment"
"22805","Unknown","miscellaneous fragment"
"22806","Unknown","miscellaneous fragment"
"22807","Unknown","miscellaneous fragment"
"22808","Unknown","miscellaneous fragment"
"22809","Unknown","miscellaneous fragment"
"22810","Unknown","miscellaneous fragment"
"22811","Unknown","miscellaneous fragment"
"22812","Unknown","miscellaneous fragment"
"22813","Unknown","miscellaneous fragment"
"22814","Unknown","miscellaneous fragment"
"22815","Unknown","miscellaneous fragment"
"22816","Unknown","miscellaneous fragment"
"22817","Unknown","miscellaneous fragment"
"22818","Unknown","miscellaneous fragment"
"22819","Unknown","miscellaneous fragment"
"22820","Unknown","miscellaneous fragment"
"22821","Unknown","miscellaneous fragment"
"22822","Unknown","miscellaneous fragment"
"22823","Unknown","miscellaneous fragment"
"22824","Unknown","miscellaneous fragment"
"22825","Unknown","miscellaneous fragment"
"22826","Unknown","miscellaneous fragment"
"22827","Unknown","miscellaneous fragment"
"22828","Unknown","miscellaneous fragment"
"22829","Unknown","miscellaneous fragment"
"22830","Unknown","miscellaneous fragment"
"22831","Unknown","miscellaneous fragment"
"22832","Unknown","miscellaneous fragment"
"22833","Unknown","miscellaneous fragment"
"22834","Unknown","miscellaneous fragment"
"22835","Unknown","miscellaneous fragment"
"22836","Unknown","miscellaneous fragment"
"22837","Unknown","miscellaneous fragment"
"22838","Unknown","miscellaneous fragment"
"22839","Unknown","miscellaneous fragment"
"22840","Unknown","miscellaneous fragment"
"22841","Unknown","miscellaneous fragment"
"22842","Unknown","miscellaneous fragment"
"22843","Unknown","miscellaneous fragment"
"22844","Unknown","miscellaneous fragment"
"22845","Unknown","miscellaneous fragment"
"22846","Unknown","miscellaneous fragment"
"22847","Unknown","miscellaneous fragment"
"22848","Unknown","miscellaneous fragment"
"22849","Unknown","miscellaneous fragment"
"22850","Unknown","miscellaneous fragment"
"22851","Unknown","miscellaneous fragment"
"22852","Unknown","miscellaneous fragment"
"22853","Unknown","miscellaneous fragment"
"22854","Unknown","miscellaneous fragment"
"22855","Unknown","miscellaneous fragment"
"22856","Unknown","miscellaneous fragment"
"22857","Unknown","miscellaneous fragment"
"22858","Unknown","miscellaneous fragment"
"22859","Unknown","miscellaneous fragment"
"22860","Unknown","miscellaneous fragment"
"22861","Unknown","miscellaneous fragment"
"22862","Unknown","miscellaneous fragment"
"22863","Unknown","miscellaneous fragment"
"22864","Unknown","miscellaneous fragment"
"22865","Unknown","miscellaneous fragment"
"22866","Unknown","miscellaneous fragment"
"22867","Unknown","miscellaneous fragment"
"22868","Unknown","miscellaneous fragment"
"22869","Unknown","miscellaneous fragment"
"22870","Unknown","miscellaneous fragment"
"22871","Unknown","miscellaneous fragment"
"22872","Unknown","miscellaneous fragment"
"22873","Unknown","miscellaneous fragment"
"22874","Unknown","miscellaneous fragment"
"22875","Unknown","miscellaneous fragment"
"22876","Unknown","miscellaneous fragment"
"22877","Unknown","miscellaneous fragment"
"22878","Unknown","miscellaneous fragment"
"22879","Unknown","miscellaneous fragment"
"22880","Unknown","miscellaneous fragment"
"22881","Unknown","miscellaneous fragment"
"22882","Unknown","miscellaneous fragment"
"22883","Unknown","miscellaneous fragment"
"22884","Unknown","miscellaneous fragment"
"22885","Unknown","miscellaneous fragment"
"22886","Unknown","miscellaneous fragment"
"22887","Unknown","miscellaneous fragment"
"22888","Unknown","miscellaneous fragment"
"22889","Unknown","miscellaneous fragment"
"22890","Unknown","miscellaneous fragment"
"22891","Unknown","miscellaneous fragment"
"22892","Unknown","miscellaneous fragment"
"22893","Unknown","miscellaneous fragment"
"22894","Unknown","miscellaneous fragment"
"22895","Unknown","miscellaneous fragment"
"22896","Unknown","miscellaneous fragment"
"22897","Unknown","miscellaneous fragment"
"22898","Unknown","miscellaneous fragment"
"22899","Unknown","miscellaneous fragment"
"22900","Unknown","miscellaneous fragment"
"22901","Unknown","miscellaneous fragment"
"22902","Unknown","miscellaneous fragment"
"22903","Unknown","miscellaneous fragment"
"22904","Unknown","miscellaneous fragment"
"22905","Unknown","miscellaneous fragment"
"22906","Unknown","miscellaneous fragment"
"22907","Unknown","miscellaneous fragment"
"22908","Unknown","miscellaneous fragment"
"22909","Unknown","miscellaneous fragment"
"22910","Unknown","miscellaneous fragment"
"22911","Unknown","miscellaneous fragment"
"22912","Unknown","miscellaneous fragment"
"22913","Unknown","miscellaneous fragment"
"22914","Unknown","miscellaneous fragment"
"22915","Unknown","miscellaneous fragment"
"22916","Unknown","miscellaneous fragment"
"22917","Unknown","miscellaneous fragment"
"22918","Unknown","miscellaneous fragment"
"22919","Unknown","miscellaneous fragment"
"22920","Unknown","miscellaneous fragment"
"22921","Unknown","miscellaneous fragment"
"22922","Unknown","miscellaneous fragment"
"22923","Unknown","miscellaneous fragment"
"22924","Unknown","miscellaneous fragment"
"22925","Unknown","miscellaneous fragment"
"22926","Unknown","miscellaneous fragment"
"22927","Unknown","miscellaneous fragment"
"22928","Unknown","miscellaneous fragment"
"22929","Unknown","miscellaneous fragment"
"22930","Unknown","miscellaneous fragment"
"22931","Unknown","miscellaneous fragment"
"22932","Unknown","miscellaneous fragment"
"22933","Unknown","miscellaneous fragment"
"22934","Unknown","miscellaneous fragment"
"22935","Unknown","miscellaneous fragment"
"22936","Unknown","miscellaneous fragment"
"22937","Unknown","miscellaneous fragment"
"22938","Unknown","miscellaneous fragment"
"22939","Unknown","miscellaneous fragment"
"22940","Unknown","miscellaneous fragment"
"22941","Unknown","miscellaneous fragment"
"22942","Unknown","miscellaneous fragment"
"22943","Unknown","miscellaneous fragment"
"22944","Unknown","miscellaneous fragment"
"22945","Unknown","miscellaneous fragment"
"22946","Unknown","miscellaneous fragment"
"22947","Unknown","miscellaneous fragment"
"22948","Unknown","miscellaneous fragment"
"22949","Unknown","miscellaneous fragment"
"22950","Unknown","miscellaneous fragment"
"22951","Unknown","miscellaneous fragment"
"22952","Unknown","miscellaneous fragment"
"22953","Unknown","miscellaneous fragment"
"22954","Unknown","miscellaneous fragment"
"22955","Unknown","miscellaneous fragment"
"22956","Unknown","miscellaneous fragment"
"22957","Unknown","miscellaneous fragment"
"22958","Unknown","miscellaneous fragment"
"22959","Unknown","miscellaneous fragment"
"22960","Unknown","miscellaneous fragment"
"22961","Unknown","miscellaneous fragment"
"22962","Unknown","miscellaneous fragment"
"22963","Unknown","miscellaneous fragment"
"22964","Unknown","miscellaneous fragment"
"22965","Unknown","miscellaneous fragment"
"22966","Unknown","miscellaneous fragment"
"22967","Unknown","miscellaneous fragment"
"22968","Unknown","miscellaneous fragment"
"22969","Unknown","miscellaneous fragment"
"22970","Unknown","miscellaneous fragment"
"22971","Unknown","miscellaneous fragment"
"22972","Unknown","miscellaneous fragment"
"22973","Unknown","miscellaneous fragment"
"22974","Unknown","miscellaneous fragment"
"22975","Unknown","take out/away containers"
"22976","Unknown","take out/away containers"
"22977","McDonalds","take out/away containers"
"22978","Unknown","take out/away containers"
"22979","Unknown","take out/away containers"
"22980","Unknown","take out/away containers"
"22981","McDonalds","take out/away containers"
"22982","McDonalds","take out/away containers"
"22983","McDonalds","take out/away containers"
"22984","McDonalds","take out/away containers"
"22985","McDonalds","take out/away containers"
"22986","McDonalds","take out/away containers"
"22987","McDonalds","take out/away containers"
"22988","McDonalds","take out/away containers"
"22989","McDonalds","take out/away containers"
"22990","McDonalds","take out/away containers"
"22991","McDonalds","take out/away containers"
"22992","McDonalds","take out/away containers"
"22993","McDonalds","take out/away containers"
"22994","McDonalds","take out/away containers"
"22995","McDonalds","take out/away containers"
"22996","McDonalds","take out/away containers"
"22997","McDonalds","take out/away containers"
"22998","McDonalds","take out/away containers"
"22999","McDonalds","take out/away containers"
"23000","Marlboro","Cigarette Packaging"
"23001","Marlboro","Cigarette Packaging"
"23002","Marlboro","Cigarette Packaging"
"23003","Marlboro","Cigarette Packaging"
"23004","Marlboro","Cigarette Packaging"
"23005","Marlboro","Cigarette Packaging"
"23006","Marlboro","Cigarette Packaging"
"23007","Marlboro","Cigarette Packaging"
"23008","Marlboro","Cigarette Packaging"
"23009","Marlboro","Cigarette Packaging"
"23010","Marlboro","Cigarette Packaging"
"23011","Pall Mall","Cigarette Packaging"
"23012","Pall Mall","Cigarette Packaging"
"23013","Pall Mall","Cigarette Packaging"
"23014","Pall Mall","Cigarette Packaging"
"23015","Pall Mall","Cigarette Packaging"
"23016","American Spirit","Cigarette Packaging"
"23017","American Spirit","Cigarette Packaging"
"23018","American Spirit","Cigarette Packaging"
"23019","American Spirit","Cigarette Packaging"
"23020","American Spirit","Cigarette Packaging"
"23021","Just water","juice box"
"23022","Camel","Cigarette Packaging"
"23023","Camel","Cigarette Packaging"
"23024","Kirkland","Cigarette Packaging"
"23025","Kirkland","Cigarette Packaging"
"23026","Kirklans signature","Cigarette Packaging"
"23027","Kirkland","Cigarette Packaging"
"23028","Panda Express","Plastic Bags"
"23029","Panda Express","Plastic Bags"
"23030","Extra mile","Cups"
"23031","Coca-Cola","Cups"
"23032","Dasani","Cups"
"23033","Coca-Cola","Cups"
"23034","Coca-Cola","Cups"
"23035","Coca-Cola","Cups"
"23036","Coca-Cola","Cups"
"23037","Coca-Cola","Cups"
"23038","Coca-Cola","Cups"
"23039","Coca-Cola","Cups"
"23040","Coca-Cola","Cups"
"23041","Coca-Cola","Cups"
"23042","Coca-Cola","Cups"
"23043","Coca-Cola","Cups"
"23044","Coca-Cola","Cups"
"23045","Coca-Cola","Cups"
"23046","Coca-Cola","Cups"
"23047","Coca-Cola","Cups"
"23048","Coca-Cola","Cups"
"23049","Coca-Cola","Cups"
"23050","Coca-Cola","Cups"
"23051","Coca-Cola","Cups"
"23052","Coca-Cola","Cups"
"23053","Folgers","Other Bottles"
"23054","Doritos","Plastic Bags"
"23055","Doritos","Plastic Bags"
"23056","Panda Express","Plastic wrappers"
"23057","Panda Express","Plastic wrappers"
"23058","Panda Express","Plastic wrappers"
"23059","Panda Express","Plastic wrappers"
"23060","Panda Express","Plastic wrappers"
"23061","Panda Express","Plastic wrappers"
"23062","Panda Express","Plastic wrappers"
"23063","Panda Express","Plastic wrappers"
"23064","Panda Express","Plastic wrappers"
"23065","Panda Express","Plastic wrappers"
"23066","Panda Express","Plastic wrappers"
"23067","Panda Express","Plastic wrappers"
"23068","Panda Express","Plastic wrappers"
"23069","Panda Express","Plastic wrappers"
"23070","Panda Express","Plastic wrappers"
"23071","Panda Express","Plastic wrappers"
"23072","Panda Express","Plastic wrappers"
"23073","Panda Express","Plastic wrappers"
"23074","Panda Express","Plastic wrappers"
"23075","Panda Express","Plastic wrappers"
"23076","Panda Express","Plastic wrappers"
"23077","Panda Express","Plastic wrappers"
"23078","Panda Express","Plastic wrappers"
"23079","Panda Express","Plastic wrappers"
"23080","Panda Express","Plastic wrappers"
"23081","Panda Express","Plastic wrappers"
"23082","Panda Express","Plastic wrappers"
"23083","Panda Express","Plastic wrappers"
"23084","Panda Express","Plastic wrappers"
"23085","Panda Express","Plastic wrappers"
"23086","Panda Express","Plastic wrappers"
"23087","Panda Express","Plastic wrappers"
"23088","Panda Express","Plastic wrappers"
"23089","First Street","Plastic wrappers"
"23090","Nestle","Plastic bottle"
"23091","Nestle","Plastic bottle"
"23092","Route 99","take out/away containers"
"23093","Route 99","take out/away containers"
"23094","Route 99","take out/away containers"
"23095","Route 99","take out/away containers"
"23096","Route 99","take out/away containers"
"23097","Route 99","take out/away containers"
"23098","Route 99","take out/away containers"
