from,to
Polycyanoacrylates,Poly(butylcyanoacrylate)
Polycyanoacrylates,Poly(hexylcyanoacrylate)
Polycyanoacrylates,Poly(octylcyanoacrylate)
plastic,"Polydienes(Butadienes,Isoprenes)"
"Polydienes(Butadienes,Isoprenes)","Poly(1,2-butadiene)"
"Polydienes(Butadienes,Isoprenes)","Poly(1,4-butadiene)"
"Polydienes(Butadienes,Isoprenes)","Poly(1-ethyl-1,4-butadiene)"
"Polydienes(Butadienes,Isoprenes)","1,4-Polyisoprene(cisandtrans)(Latex)"
"Polydienes(Butadienes,Isoprenes)","Poly(1,4-pentadiene)"
"Polydienes(Butadienes,Isoprenes)",Poly(1-pentenylene)
plastic,"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)"
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",ER
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Bisphenol-Adiglycidyletherepoxyresin
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Bisphenol-Fdiglycidyletherepoxyresin
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Poly(bis-Adiglycidylether-alt-ethylenediamine)
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Poly(bis-Adiglycidylether-alt-hexamethylenediamine)
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Poly(bis-Adiglycidylether-alt-octamethylenediamine)
plastic,Polyesters
Polyesters,PEST
Polyesters,Poly(caprolactone)
Polyesters,Poly(ethylenenaphthalate)
Polyesters,Poly(ethylenephthalate)
Polyesters,Polyglycolide
Polyesters,Poly(3-hydroxybutyrate)
Polyesters,Poly(4-hydroxybutyrate)
Polyesters,Polylacticacid
plastic,"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)"
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Polyacetal-Polyoxymethylene
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(3-butoxypropyleneoxide)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(epichlorohydrin)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(ethyleneglycol)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(hexamethyleneoxide)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(3-methoxypropyleneoxide)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly[oxy(hexyloxymethyl)ethylene]
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(oxymethylene-oxyethylene)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(oxymethylene-oxytetramethylene)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(propyleneglycol)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(tetrahydrofuran)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(trimethyleneglycol)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)","Poly[1,1-bis(chloromethyl)trimethyleneoxide]"
plastic,Polyethersulfones(POLYSULFONE)
Polyethersulfones(POLYSULFONE),Poly(etherethersulfone)
Polyethersulfones(POLYSULFONE),Poly(ethersulfone)
Polyethersulfones(POLYSULFONE),Poly(phenylsulfone)
Polyethersulfones(POLYSULFONE),BisphenolAPolysulfone
plastic,Polyfumarates(POLYBUTENEDIOATES)
Polyfumarates(POLYBUTENEDIOATES),Poly(dimethylfumarate)
Polyfumarates(POLYBUTENEDIOATES),Poly(dibutylfumarate)
Polyfumarates(POLYBUTENEDIOATES),Poly(diethylfumarate)
Polyfumarates(POLYBUTENEDIOATES),Poly(dipropylfumarate)
plastic,Polyhalodienes
Polyhalodienes,PoIy(1-chloro-1-butenylene)(Polychloroprene)
Polyhalodienes,Poly(1-bromo-1-butenylene)(Polybromoprene)
plastic,Polyhaloolefins(Vinylhalides)
Polyhaloolefins(Vinylhalides),PVC
Polyhaloolefins(Vinylhalides),PTFE
Polyhaloolefins(Vinylhalides),PVDF
Polyhaloolefins(Vinylhalides),Poly(chlorotrifluoroethylene)
Polyhaloolefins(Vinylhalides),Poly(vinylbromide)
Polyhaloolefins(Vinylhalides),Poly(vinylfluoride)
Polyhaloolefins(Vinylhalides),Poly(vinylidenechloride)
plastic,Polyhalostyrenes
Polyhalostyrenes,Poly(4-bromostyrene)
Polyhalostyrenes,Poly(2-chlorostyrene)
Polyhalostyrenes,Poly(3-chlorostyrene)
Polyhalostyrenes,Poly(4-chlorostyrene)
Polyhalostyrenes,"Poly(2,5-difluorostyrene)"
Polyhalostyrenes,Poly(4-fluorostyrene)
plastic,Polyhydroxy(meth)acrylates
Polyhydroxy(meth)acrylates,Poly(2-hydroxyethylacrylate)
Polyhydroxy(meth)acrylates,Poly(2-hydroxyethylmethacrylate)
Polyhydroxy(meth)acrylates,Poly(2-hydroxypropylmethacrylate)
plastic,Polyisophthalates
Polyisophthalates,Poly(BisphenolAisophthalate)
Polyisophthalates,Poly(butyleneisophthalate)
Polyisophthalates,Poly(ethyleneisophthalate)
plastic,POLYITACONATES(POLYMETHYLENESUCCINATES)
POLYITACONATES(POLYMETHYLENESUCCINATES),Poly[dimethylitaconate]
POLYITACONATES(POLYMETHYLENESUCCINATES),Poly[di(n-propyl)itaconate]
POLYITACONATES(POLYMETHYLENESUCCINATES),Poly[di(n-butyl)itaconate]
POLYITACONATES(POLYMETHYLENESUCCINATES),Poly[di(n-hexyl)itaconate]
plastic,Polymethacrylamides
Polymethacrylamides,Poly(N-acetylmethacrylamide)
Polymethacrylamides,Poly(N-benzylmethacrylamide)
Polymethacrylamides,Poly(methacrylamide)
Polymethacrylamides,Poly(N-tert-butylmethacrylamide)
plastic,Polymethacrylates
Polymethacrylates,PMMA
Polymethacrylates,Poly(methacrylicacid)
Polymethacrylates,Poly(benzylmethacrylate)
Polymethacrylates,Poly(butylmethacrylate)
Polymethacrylates,Poly(cyclohexylmethacrylate)
Polymethacrylates,Poly(decylmethacrylate)
Polymethacrylates,Poly(dodecylmethacrylate)
Polymethacrylates,Poly(2-ethoxyethylmethacrylate)
Polymethacrylates,Poly(ethylmethacrylate)
Polymethacrylates,Poly(hexylmethacrylate)
Polymethacrylates,Poly(isobutylmethacrylate)
Polymethacrylates,Poly(isopropylmethacrylate)
Polymethacrylates,Poly(octadecylmethacrylate)
Polymethacrylates,Poly(octylmethacrylate)
Polymethacrylates,Poly(2-phenylethylmethacrylate)
Polymethacrylates,Poly(phenylmethacrylate)
Polymethacrylates,Poly(propylmethacrylate)
Polymethacrylates,Poly(2-chloroethylmethacrylate)
Polymethacrylates,Poly(sec-butylmethacrylate)
Polymethacrylates,Poly(4-tert-butylcyclohexylmethacrylate)
Polymethacrylates,Poly(tert-butylmethacrylate)
Polymethacrylates,"Poly(2,2,3,3-tetrafluoropropylmethacrylate)"
plastic,Polyolefins
Polyolefins,Olefin
plastic,Polyolefins(POLYALKENES)
Polyolefins(POLYALKENES),Poly(butylene)
Polyolefins(POLYALKENES),Poly(butylethylene)
Polyolefins(POLYALKENES),Poly(cyclohexylethylene)
Polyolefins(POLYALKENES),Poly(heptylethylene)
Polyolefins(POLYALKENES),Poly(hexylethylene)
Polyolefins(POLYALKENES),Poly(isobutene)
Polyolefins(POLYALKENES),Poly(isobutylethylene)
Polyolefins(POLYALKENES),Poly(isopropylethylene)
Polyolefins(POLYALKENES),Poly(2-methylbutene)
Polyolefins(POLYALKENES),Poly(octylethylene)
Polyolefins(POLYALKENES),Poly(pentylethylene)
Polyolefins(POLYALKENES),Poly(propylethylene)
Polyolefins(POLYALKENES),Poly(tert-butylethylene)
Polyolefins(POLYALKENES),PE
Polyolefins(POLYALKENES),PP
plastic,Polyphenylenes(POLYAROMATICS)
Polyphenylenes(POLYAROMATICS),Poly(p-phenylene)
Polyphenylenes(POLYAROMATICS),Poly(p-phenylenevinylene)
Polyphenylenes(POLYAROMATICS),Poly(p-xylene)
Polyphenylenes(POLYAROMATICS),Poly(2-chloro-p-xylylene)
plastic,Polyphenylethers(POLYPHENYLENEOXIDE)
Polyphenylethers(POLYPHENYLENEOXIDE),"Poly(2,6-dimethyl-p-phenyleneoxide)"
Polyphenylethers(POLYPHENYLENEOXIDE),"Poly(2,6-diphenyl-p-phenyleneoxide)"
Polyphenylethers(POLYPHENYLENEOXIDE),Poly(p-phenyleneoxide)
plastic,Polysebacates
Polysebacates,Poly(butylenesebacate)
Polysebacates,Poly(ethylenesebacate)
Polysebacates,Poly(hexylenesebacate)
plastic,Polysiloxanes
Polysiloxanes,Silicone
Polysiloxanes,PMPS
Polysiloxanes,PDMS
Polysiloxanes,Poly(diethylsiloxane)(PDES)
plastic,"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)"
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Poly(2-methoxystyrene)
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Poly(_-methylstyrene)
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Poly(2-methylstyrene)
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Poly(3-methylstyrene)
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Poly(4-methylstyrene)
